预测周数,模型代码,模型,MAE,RMSE,方向准确率,回测样本数
1,naive,持平基准,0.43505228686715075,0.5358729714744883,0.0,65
1,drift,短期漂移,0.5015822336928651,0.6097979692375003,0.36923076923076925,65
1,seasonal,全样本季节性,0.9066407309974125,1.12300864967312,0.5230769230769231,65
1,regime_seasonal,状态季节性,0.6748563409069679,0.8308226256967951,0.5230769230769231,65
1,ar,AR(2)自回归,0.43277352328979934,0.5210605389970236,0.5076923076923077,65
1,holt,Holt趋势,0.4779669168428991,0.5807730199757147,0.35384615384615387,65
1,ridge,Ridge线性回归,0.4330104279153381,0.5211074396305159,0.5076923076923077,65
1,knn,KNN非线性回归,0.4419115514766953,0.5309714632436027,0.4461538461538462,65
1,ensemble,多模型集成,0.43447217113610026,0.5411480914773885,0.5076923076923077,65
2,naive,持平基准,0.611285778520508,0.8185502082141879,0.0,65
2,drift,短期漂移,0.7752346398066439,0.9875170103648526,0.35384615384615387,65
2,seasonal,全样本季节性,1.3648077252981636,1.7077094960490693,0.5230769230769231,65
2,regime_seasonal,状态季节性,1.2820446884195,1.6407960710703293,0.5076923076923077,65
2,ar,AR(2)自回归,0.6236041207056362,0.8251884407023191,0.5384615384615384,65
2,holt,Holt趋势,0.6821595103679754,0.8723086288797859,0.3230769230769231,65
2,ridge,Ridge线性回归,0.6290643177983205,0.8436597728206898,0.5538461538461539,65
2,knn,KNN非线性回归,0.6367064770499496,0.8441371556305316,0.5538461538461539,65
2,ensemble,多模型集成,0.6493369468625908,0.8461657875312548,0.5076923076923077,65
3,naive,持平基准,0.8481765417628777,1.1083452319747205,0.0,65
3,drift,短期漂移,1.0221880871006388,1.3764383414296517,0.46153846153846156,65
3,seasonal,全样本季节性,1.765518081050463,2.234238993373233,0.5230769230769231,65
3,regime_seasonal,状态季节性,1.6255113911625958,2.0229655003114124,0.5230769230769231,65
3,ar,AR(2)自回归,0.8385140029146891,1.1044742806475387,0.5230769230769231,65
3,holt,Holt趋势,0.8960259056383914,1.1873597643947547,0.49230769230769234,65
3,ridge,Ridge线性回归,0.8496564723511747,1.1290031349809537,0.5076923076923077,65
3,knn,KNN非线性回归,0.8997662235938202,1.1727136326826613,0.49230769230769234,65
3,ensemble,多模型集成,0.852846030967285,1.1356103513781843,0.5076923076923077,65
4,naive,持平基准,0.9155403476031164,1.2732135860640472,0.0,65
4,drift,短期漂移,1.0911895320054656,1.6346230411897988,0.5076923076923077,65
4,seasonal,全样本季节性,2.0006690241737934,2.598175705715017,0.5076923076923077,65
4,regime_seasonal,状态季节性,1.919412541524916,2.4387558056600267,0.5384615384615384,65
4,ar,AR(2)自回归,0.9276530031062448,1.285047663546544,0.5076923076923077,65
4,holt,Holt趋势,0.9796829822306281,1.381191214999422,0.5076923076923077,65
4,ridge,Ridge线性回归,0.9439614054033255,1.3207341411084963,0.5076923076923077,65
4,knn,KNN非线性回归,1.0257550991883198,1.3768014770436003,0.4153846153846154,65
4,ensemble,多模型集成,0.9653682232650792,1.3361966321391068,0.47692307692307695,65
