预测日期,预测周数,预测ISO年份,预测ISO周,80%区间下沿,80%区间上沿,Ridge线性回归
2026-07-03,1,2026,27,13.677624195505416,14.949579049550728,14.279226295753517
2026-07-10,2,2026,28,13.362230533074978,15.424747649506116,14.312647905357974
2026-07-17,3,2026,29,13.37163818586014,15.8208895177965,14.369425456434401
2026-07-24,4,2026,30,13.488365969664796,16.109633938213705,14.434387132533551
